start,end,transcript,speaker,confidence
0.00,0.10,"では、来季の予算会議を始めます。各部署からの報告をお願いします。まずは佐藤さん、全体の見通しをお願いします。",0,1
0.10,0.20,"はい。来季の全体予算案につきまして、ご説明いたします。売上高は前年比5%増の850億円、営業利益は7%増の68億円を見込んでおります。為替レートは1ドル110円で試算しています。",1,1
0.20,0.30,"なるほど。前年よりも成長を見込んでいるわけですね。各部門の詳細をお聞きしましょう。鈴木さん、研究開発部門からお願いします。",0,1
0.30,0.40,"はい。研究開発費は総額で95億円を計画しています。これは前年比8%増です。主な増加要因は、新規バイオ素材の開発プロジェクトと、既存製品の環境負荷低減研究です。",2,1
0.40,0.50,"8%増は大きいですね。具体的にどのような成果を期待していますか？",0,1
0.50,0.60,"新規バイオ素材については、3年以内の製品化を目指しています。環境負荷低減については、主力製品のCO2排出量を20%削減する技術の確立を目標としています。",2,1
0.60,0.70,"その環境技術は、営業的にも大きなアピールポイントになりますね。",3,1
0.70,0.80,"確かに。では高橋さん、営業部門の計画をお願いします。",0,1
0.80,0.90,"はい。売上目標は佐藤さんの説明通り850億円です。内訳として、国内が500億円、海外が350億円を計画しています。特に注力するのは、アジア市場での拡販です。",3,1
0.90,1.00,"アジア市場にはどのくらいの伸びを見込んでいますか？",0,1
1.00,1.10,"アジア市場では前年比15%増を目標としています。特に、インドネシアとベトナムでの販売網拡充に力を入れます。",3,1
1.10,1.20,"生産能力は大丈夫でしょうか。アジア向けの増産体制は整っていますか？",4,1
1.20,1.30,"その点については山本さんと調整済みです。ご説明をお願いできますか。",3,1
1.30,1.40,"はい。アジア向け製品の生産ラインを増強する計画です。設備投資として30億円を計上しています。",4,1
1.40,1.50,"30億円ですか。結構な金額ですね。投資回収の見通しはいかがですか？",0,1
1.50,1.60,"5年での回収を見込んでいます。この投資により生産効率も15%向上する見通しで、コスト削減効果も期待できます。",4,1
1.60,1.70,"その設備投資は財務計画に織り込み済みです。借入金で対応する予定ですが、現在の低金利を活かせると考えています。",1,1
1.70,1.80,"分かりました。他に重要な案件はありますか？",0,1
1.80,1.90,"はい。研究開発部門では、AIを活用した材料開発システムの導入を検討しています。予算は10億円を見込んでいます。",2,1
1.90,2.00,"AIの活用ですか。面白い提案ですね。具体的にどのような効果を期待していますか？",0,1
2.00,2.10,"新素材の開発スピードを現在の1.5倍に高めることが可能と試算しています。また、開発コストの20%削減も見込んでいます。",2,1
2.10,2.20,"その技術は非常に興味深いですね。もし実現すれば、市場投入のスピードアップにも繋がります。",3,1
2.20,2.30,"投資額は大きいですが、長期的に見れば研究開発の効率化に大きく寄与すると思います。財務的にも承認できる範囲です。",1,1
2.30,2.40,"皆さんの意見を聞く限り、前向きに検討する価値はありそうですね。鈴木さん、詳細な計画を立てて、再度提案してください。",0,1
2.40,2.50,"承知しました。来週中に詳細な計画書を提出いたします。",2,1
2.50,2.60,"ありがとうございます。では、最後に佐藤さん、全体を通しての財務見通しをお願いします。",0,1
2.60,2.70,"はい。先ほどの設備投資とAIシステムの導入を含めても、財務状況は健全を維持できる見込みです。有利子負債比率は35%程度に収まる計画です。",1,1
