start,end,confidence,transcript,speaker
0.06,0.56,0.96942276,ちょ,0
2.36,5.12,0.62976444,ま ど さん もう ハ ウ リ ング する  か ら そうだ ね,0
6.04,6.8799996,0.63690263,あ  す げ,0
8.179999,9.24,0.6352962,え 俺 が 今 聞 いた,0
9.82,13.799999,0.8012445, あ あ  そう  な ん か  teams  は  そ も そ も ト ラ ン ス ク リ プ ト が ある ら しい,0
16.24,18.82,0.7420014,す げ え っていう か さ  これ あれ だ ね,0
20.380001,21.2,0.89464355, ま ず この,0
21.86,22.6,0.3028781,te ams,0
23.42,34.52,0.8062941, あ 違う か  teams の この ト ラ ン ス ク リ プ ト は 別 に 使 わ ない  の か だ し でも これ も なんか フ ァ イ ル ズ  を 出 色 する こと は でき る ら しい でき る けど あ く まで 録 画 デ ー タ だ も ん ね 俺 ら が 使 う の,0
34.84,35.34,0.99022245,音,0
35.66,37.88,0.81345505,声 デ ー タ っていう か  そう だ ね,0
38.47,38.97,0.987938,で,0
39.559998,41.72,0.8788414,この 音 声 は ど こ に 保 存 さ れる んだ,0
42.76,44.36,0.8295962,録 音 を 中 止 します,0
46.92,48.62,0.44254735,ど こ で や ろ 今 週 し 。,0
