start,end,confidence,transcript,speaker
0.0,0.5,0.99942786,そ,0
2.22,5.04,0.75669235,も そ も ハ ウ リ ング する から そうだ ね,0
6.04,7.16,0.77258396,あ 、 す げ え,0
7.96,9.22,0.84487617,俺 が 今 聞 いた,0
10.76,13.86,0.9120145,チ ーム ズ は そ も そ も ト ラ ン ス ク リ プ ト が ある ら しい,0
16.22,19.08,0.60060996,す げ え っていう か さ 、 これ あれ だ ね 。,0
20.34,21.18,0.771824,まず この,0
22.06,23.16,0.41404736,te ams,0
24.4,27.279999,0.89472914,の この ト ラ ン ス ク リ プ ト は 別 に 使 わ ない の か 。,0
27.66,37.94,0.8182967,これ も フ ァ イ ル と して 出 色 する こと は でき る ら しい 。 でき る けど あ く まで 録 画 デ ー タ だ も ん ね 、 俺 ら が 使 う のは 。 音 声 デ ー タ っていう か 。 そうだ ね,0
38.559998,41.48,0.84878117,。 で 、 この 音 声 は ど こ に 保 存 さ れる んだ,0
42.739998,44.78,0.80929065,録 音 を 中 止 します,0
46.68,51.48,0.7200581,。 ど こ だ よ 、 録 音 中 止 。 ど こ で 録 音 中 止 後 で,0
