start,end,confidence,transcript,speaker
0.0,0.5,0.99942577,そ,0
2.22,5.04,0.75653654,も そ も ハ ウ リ ング する から そうだ ね,0
6.04,7.16,0.7728713,あ 、 す げ え,0
7.96,9.22,0.8448259,俺 が 今 聞 いた,0
10.76,13.86,0.91198176,チ ーム ズ は そ も そ も ト ラ ン ス ク リ プ ト が ある ら しい,0
16.22,19.08,0.60074466,す げ え っていう か さ 、 これ あれ だ ね 。,0
20.34,21.18,0.77091175,まず この,0
22.06,23.16,0.41213027,te ams,0
24.4,27.279999,0.89473754,の この ト ラ ン ス ク リ プ ト は 別 に 使 わ ない の か 。,0
27.66,37.94,0.8182682,これ も フ ァ イ ル と して 出 色 する こと は でき る ら しい 。 でき る けど あ く まで 録 画 デ ー タ だ も ん ね 、 俺 ら が 使 う のは 。 音 声 デ ー タ っていう か 。 そうだ ね,0
38.48,41.48,0.84877247,。 で 、 この 音 声 は ど こ に 保 存 さ れる んだ,0
42.739998,44.84,0.8357108,録 音 を 中 止 します 。,0
46.879997,48.5,0.7173257,ど こ だ よ 、 録 音 中 止 。 ど こ で 録 音 中 止,0
50.66,51.48,0.6109239,後 で,0
