start,end,transcript,speaker,confidence,deviation_flg
0.0,0.1,では、来季の予算会議を始めます。各部署からの報告をお願いします。まずは佐藤さん、全体の見通しをお願いします。,0,1,0
0.1,0.2,はい。来季の全体予算案につきまして、ご説明いたします。売上高は前年比5%増の850億円となっておりまして、営業利益は7%増の68億円を見込んでおります。為替レートは1ドル110円で試算しています。,1,1,0
0.2,0.3,なるほど。前年よりも成長を見込んでいるわけですね。各部門の詳細をお聞きしましょう。鈴木さん、研究開発部門からお願いします。,0,1,0
0.3,0.4,はい。研究開発費は総額で95億円を計画しています。これは前年比8%増です。主な増加要因は、新規バイオ素材の開発プロジェクトと、既存製品の環境負荷低減研究です。,2,1,0
0.4,0.5,8%増は大きいですね。具体的にどのような成果を期待していますか？,0,1,0
0.5,0.6,新規バイオ素材については、3年以内の製品化を目指しています。環境負荷低減については、主力製品のCO2排出量を20%削減する技術の確立を目標としています。,2,1,0
0.6,0.7,その環境技術は、営業的にも大きなアピールポイントになりますね。,3,1,0
0.7,0.8,アピールポイントは多ければ多いほうがいいですね。,0,1,1
0.8,0.9,そう思います。そういえばアピールの語源って何なのでしょうか？,3,1,1
0.9,1.0,確かに。では高橋さん、営業部門の計画をお願いします。,0,1,0
1.0,1.1,はい。売上目標は佐藤さんの説明通り850億円です。内訳として、国内が500億円、海外が350億円を計画しています。特に注力するのは、アジア市場での拡販です。,3,1,0
1.1,1.2,アジア市場にはどのくらいの伸びを見込んでいますか？,4,1,0
1.2,1.3,アジア市場では前年比15%増を目標としています。特に、インドネシアとベトナムでの販売網拡充に力を入れます。,3,1,0
1.3,1.4,インドネシアとベトナムですか。どういった理由でこの２国をえらんだのでしょうか。,4,1,1
1.4,1.5,その点については山本さんが詳しいです。ご説明をお願いできますか。,0,1,0
1.5,1.6,はい。ベトナムやインドネシアは米を主食としており、当社のプロダクトと相性が良いにもかかわらず、販売実績が思わしくないからです。,4,1,1
1.6,1.7,それにはどういった理由があるとお考えですか。,0,1,1
1.7,1.8,いくつかの要因が考えられますが、最大の原因は知名度の低さだと思います。,4,1,0
1.8,1.9,なるほど。知名度といえば昨年のタイでの知名度の伸びは大きかったですね。,0,1,1
1.9,2.0,そうですね。タイで知名度が伸びた要因としてはタイ米芸人さんの影響が大きかったと思います。,4,1,1
2.0,2.1,彼の芸はとてもおもしろかったですからね。最近は彼のことを見なくなったのですがどういったことをされているのでしょう。,0,1,1
2.1,2.2,私もあまり詳しくはないのですが、現在はタイで俳優をされていらっしゃるとか。,4,1,1
2.2,2.3,俳優ですか。確かに彼の顔は整っていますからね。,0,1,1
2.3,2.4,そうなんですよね。あこがれてしまいます。,4,1,1
2.4,2.5,ははは。それでは営業のほうはそちらで進めていきましょう。,0,1,1
2.5,2.6,ありがとうございます。,0,1,0
2.6,2.7,はい。それでは他に重要な案件はありますか？,0,1,1
